ID;IDINTERVENTION;TEXT_INTERVENTIONMANUEL;IDSALARIE;Login;HEUREDEBUT;HEUREFIN;DATEDEBUT;DATEFIN;DEMIJOURDEBUT;DEMIJOURFIN;BHEURE;COMPLEMENT;TRANSFERE;CREATIONPOSTCLOTURE;IDJOURFERIE;ORIGINEINTRANET
26154;40;;119;RML;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-09 00:00:00.000;2012-07-27 00:00:00.000;0;0;0;0;0;0;0;1
26248;40;;421;BFN;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-09 00:00:00.000;2012-07-27 00:00:00.000;0;0;0;0;0;0;0;1
26200;40;;553;FGN;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-07-09 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;1
26278;40;;641;YDN;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-07-09 00:00:00.000;2012-07-10 00:00:00.000;0;0;0;0;0;0;0;1
25051;40;;590;ATY;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-09 00:00:00.000;2012-07-27 00:00:00.000;0;0;0;0;0;0;0;1
24269;40;;577;ELCA;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-09 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;0
26453;40;;552;BGT;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-07-09 00:00:00.000;2012-07-13 00:00:00.000;0;0;0;0;0;0;0;NULL
25977;40;;296;BVI;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-07-09 00:00:00.000;2012-07-30 00:00:00.000;0;0;0;0;0;0;0;1
26469;40;;560;CMF;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-07-09 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;1
26501;40;;642;TSR;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-07-11 00:00:00.000;2012-07-11 00:00:00.000;0;0;0;0;0;0;0;NULL
26478;40;;43;FFT;1899-12-30 14:00:00.000;1899-12-30 17:00:00.000;2012-07-11 00:00:00.000;2012-07-12 00:00:00.000;1;0;0;0;0;0;0;NULL
23703;40;;528;LMY;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-12 00:00:00.000;2012-07-27 00:00:00.000;0;0;0;0;0;0;0;0
26006;40;;157;PCI;1899-12-30 08:15:00.000;1899-12-30 17:00:00.000;2012-07-12 00:00:00.000;2012-07-13 00:00:00.000;0;0;0;0;0;0;0;1
26456;40;;417;FBT;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-13 00:00:00.000;2012-08-03 00:00:00.000;0;0;0;0;0;0;0;1
26610;40;;567;IPL;1899-12-30 13:45:00.000;1899-12-30 17:45:00.000;2012-07-13 00:00:00.000;2012-07-18 00:00:00.000;1;0;0;0;0;0;0;NULL
26535;40;;612;EEB;1899-12-30 08:15:00.000;1899-12-30 17:45:00.000;2012-07-13 00:00:00.000;2012-07-16 00:00:00.000;0;0;0;0;0;0;0;1
26649;40;regul congés semaine derniere  ;552;BGT;1899-12-30 08:00:00.000;1899-12-30 18:00:00.000;2012-07-16 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;1
25932;40;;104;CBT;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-16 00:00:00.000;2012-08-03 00:00:00.000;0;0;0;0;0;0;0;1
26315;40;;5;GDR;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-07-16 00:00:00.000;2012-07-18 00:00:00.000;0;0;0;0;0;0;0;1
26238;40;;426;RPC;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-07-16 00:00:00.000;2012-08-03 00:00:00.000;0;0;0;0;0;0;0;NULL
26025;40;;157;PCI;1899-12-30 08:15:00.000;1899-12-30 17:00:00.000;2012-07-16 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;1
24546;40;;126;VJY;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-16 00:00:00.000;2012-08-03 00:00:00.000;0;0;0;0;0;0;0;1
26210;40;;138;NAE;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-16 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;1
26331;40;;493;FVT;1899-12-30 08:15:00.000;1899-12-30 17:45:00.000;2012-07-16 00:00:00.000;2012-07-19 00:00:00.000;0;0;0;0;0;0;0;NULL
25928;40;;597;PCT;1899-12-30 09:00:00.000;1899-12-30 16:00:00.000;2012-07-16 00:00:00.000;2012-08-03 00:00:00.000;0;0;0;0;0;0;0;1
26387;40;;326;JPS;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-19 00:00:00.000;2012-08-03 00:00:00.000;0;0;0;0;0;0;0;1
26536;40;;257;PBN;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-20 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;1
26285;40;;59;NFE;1899-12-30 08:30:00.000;1899-12-30 17:15:00.000;2012-07-20 00:00:00.000;2012-07-27 00:00:00.000;0;0;0;0;0;0;0;1
26316;40;;52;VAT;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-07-20 00:00:00.000;2012-08-17 00:00:00.000;0;0;0;0;0;0;0;1
26573;40;;558;BLX;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-07-20 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;1
26302;40;;424;RME;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-23 00:00:00.000;2012-08-10 00:00:00.000;0;0;0;0;0;0;0;1
26294;40;;78;MRT;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-23 00:00:00.000;2012-08-10 00:00:00.000;0;0;0;0;0;0;0;1
26127;40;;556;JIO;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-07-23 00:00:00.000;2012-08-10 00:00:00.000;0;0;0;0;0;0;0;1
25941;40;;372;SMN;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-23 00:00:00.000;2012-08-10 00:00:00.000;0;0;0;0;0;0;0;1
26541;40;;415;SVT;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-23 00:00:00.000;2012-08-17 00:00:00.000;0;0;0;0;0;0;0;1
25597;40;;191;HFY;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-23 00:00:00.000;2012-08-10 00:00:00.000;0;0;0;0;0;0;0;1
26217;40;;599;ABE;1899-12-30 08:30:00.000;1899-12-30 16:00:00.000;2012-07-23 00:00:00.000;2012-07-27 00:00:00.000;0;0;0;0;0;0;0;1
26445;40;;450;AGE;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-23 00:00:00.000;2012-08-17 00:00:00.000;0;0;0;0;0;0;0;1
25927;40;;596;ICN;1899-12-30 00:00:00.000;1899-12-30 17:30:00.000;2012-07-23 00:00:00.000;2012-08-10 00:00:00.000;0;0;0;0;0;0;0;1
25878;40;;49;FSZ;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-07-23 00:00:00.000;2012-07-27 00:00:00.000;0;0;0;0;0;0;0;1
26574;40;;558;BLX;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-07-25 00:00:00.000;2012-07-25 00:00:00.000;0;0;0;0;0;0;0;1
26731;40;;369;RAGY;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-07-26 00:00:00.000;2012-08-27 00:00:00.000;0;0;0;0;0;0;0;1
26652;40;;413;LHP;1899-12-30 08:15:00.000;1899-12-30 12:05:00.000;2012-07-27 00:00:00.000;2012-07-27 00:00:00.000;1;0;0;0;0;0;0;1
