numId;co2;libelle;marque;modele;;fk_proprietaire;fk_agence_utilisatrice;Modeleversioncommerciale;pf;Zone à créer;libéllé à mofifier;libéllé à mofifier;;libéllé à mofifier
Immatriculation;TVTS;Libelle;Marque;Modele;Agenceutilisatrice;Agenceproprietaire;Entiteutilisatrice;Modeleversioncommerciale;Puissance;Frais de gestion TTC ;MontantentretienTTC;LoyerTTC;CODE REFACTURATION;Montantassurance
CC482EV;104;RENAULT MEGANE 3 ESTATE;RENAULT;MEGANE 3 ESTATE;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;TCE 115 DYNAMIQUE;6;7,02;43,68;304,8;CDG1;46,8575
CA575XP;119;RENAULT KANGOO;RENAULT;KANGOO;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;6,87;42,16;220,37;TECH;46,8575
CG858TX;;RENAULT KANGOO;RENAULT;KANGOO;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;11,77;109,51;392,85;TECH;46,8575
CG335TY;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;7,31;59,79;255,99;TECH;46,8575
CG943TX;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;57,95;322,31;TECH;46,8575
CG865TX;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;49,6;325,56;TECH;46,8575
CG076TY;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;57,95;322,31;TECH;46,8575
CE313QF;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;49,2;276,95;JUN;46,8575
CE208QF;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;49,2;276,95;JUN;46,8575
CE769QE;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;8,34;46,33;207,47;JUN;46,8575
CH431MF;98;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 92 ACTIVE;5;8,96;51,09;301,6;MED;46,8575
CH903ED;98;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 92 ACTIVE;5;8,96;43,93;284,19;MED;46,8575
CH455TM;98;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 92 ACTIVE;5;8,96;51,09;301,6;MED;46,8575
CG376MM;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;57,95;322,31;TECH;46,8575
CH690XV;109;PEUGEOT 308 BUSINESS;PEUGEOT;308 BUSINESS;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 112 ACTIVE;6;11,91;83,17;464,23;CDV;46,8575
CH933XV;109;PEUGEOT 308 BUSINESS;PEUGEOT;308 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 112 ACTIVE;6;10,6;56,91;370,9;CDV;46,8575
CH226XW;109;PEUGEOT 308 BUSINESS;PEUGEOT;308 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 112 ACTIVE;6;7,8;73,58;304,74;CDV;46,8575
CH396XW;109;PEUGEOT 308 BUSINESS;PEUGEOT;308 BUSINESS;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 112 ACTIVE;6;13,12;91,63;466,5;CDV;46,8575
CH679XW;109;PEUGEOT 308 BUSINESS;PEUGEOT;308 BUSINESS;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 112 ACTIVE;6;10,6;74,32;417,02;CDV;46,8575
CG929ML;;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;73,88;339,39;TECH;46,8575
CK450RL;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;57,95;322,31;TECH;46,8575
CK695RL;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;57,95;322,31;TECH;46,8575
CK238RL;;RENAULT KANGOO;RENAULT;KANGOO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;57,95;322,31;TECH;46,8575
CK670RL;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;7,51;59,66;260,66;TECH;46,8575
CK643RL;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;57,95;322,31;TECH;46,8575
CK354LL;98;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 92 ACTIVE;5;8,96;51,09;301,6;MED;46,8575
CL955KQ;109;PEUGEOT 308 BUSINESS;PEUGEOT;308 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 112 ACTIVE;6;10,6;52,05;352,98;CDV;46,8575
CJ472PE;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;49,2;286,15;JUN;46,8575
CL728KQ;98;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 92 ACTIVE;5;11,22;66,72;376,02;MED;46,8575
CN589RC;98;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 92 BUSINES;5;8,96;51,46;301,22;MED;46,8575
CN355BQ;;RENAULT MEGANE 3;RENAULT;MEGANE 3;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE 1.5 DCI 90 A;6;11,9;58,41;358,36;CDG;46,8575
CN248ML;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;48,64;275,47;JUN;46,8575
CN425GW;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;48,64;275,47;JUN;46,8575
CN318GW;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;48,64;275,47;JUN;46,8575
CP017HN;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;48,64;279,17;JUN;46,8575
CP070HN;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;48,64;279,17;JUN;46,8575
CR388QR;;RENAULT KANGOO;RENAULT;KANGOO;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;57,95;322,31;TECH;46,8575
CQ005LR;;RENAULT KANGOO;RENAULT;KANGOO;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;57,95;322,31;TECH;46,8575
CS204QA;;RENAULT KANGOO;RENAULT;KANGOO;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 GRAND CON;5;10,26;58,97;335,23;TECH;46,8575
CS724QA;;RENAULT KANGOO;RENAULT;KANGOO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 GRAND CON;5;10,26;58,97;335,23;TECH;46,8575
